,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10940,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19661012.0,19661012.0,False,,1,,,,2024-03-22T10:52:00.000Z,64830.14318874241,40406362147.44378,-29.7841,-0.97936814,-3.09923127,-3.99778454,26.13662048,59.60177368,48.70071556,1274626223195.5828,51.4488,1361433006963.59,,2024-03-22T10:52:00.000Z,,,,,,2024-03-22 12:53:47.508864
1,1027,Ethereum,ETH,ethereum,8624,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120073507.80942662,120073507.80942662,True,,2,,,,2024-03-22T10:51:00.000Z,3440.3681068747287,19565461038.905067,-38.4548,-0.51335878,-2.879085,-6.34433626,17.8990858,44.87287486,50.32921027,413097066748.125,16.6658,413097066748.13,,2024-03-22T10:51:00.000Z,,,,,,2024-03-22 12:53:47.508864
2,825,Tether USDt,USDT,tether,79910,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,104053987756.68607,107792615137.11732,True,,3,,,,2024-03-22T10:51:00.000Z,1.0000626916538022,80473884643.89555,-27.3154,-3.259e-05,-0.02521758,0.05762002,0.00605694,0.09210201,-0.05272331,104060511073.26324,4.1982,107799372834.43,,2024-03-22T10:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-22 12:53:47.508864
3,1839,BNB,BNB,bnb,2117,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149537554.0674727,149537554.0674727,False,,4,,,,2024-03-22T10:51:00.000Z,571.1962712537161,2702407033.1546116,-11.5583,-1.82953512,0.53050401,-1.42871228,56.60909158,83.27564681,113.09274174,85415293295.74136,3.4477,85415293295.74,,2024-03-22T10:51:00.000Z,,,,,,2024-03-22 12:53:47.508864
4,5426,Solana,SOL,solana,644,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,443957444.7190771,572275774.6952851,True,,5,,,,2024-03-22T10:51:00.000Z,175.18141429071713,4695551734.60152,-39.2214,-0.73266764,-7.21444875,2.32837218,69.01965284,100.46304841,83.47849216,77773093050.78079,3.1376,100252079575.44,,2024-03-22T10:51:00.000Z,,,,,,2024-03-22 12:53:47.508864
5,52,XRP,XRP,xrp,1276,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54884241878.0,99987762348.0,False,,6,,,,2024-03-22T10:52:00.000Z,0.6225423576000478,2702018786.430346,5.6868,-1.28871854,0.45918361,0.21845474,15.0813426,17.822081,0.99073766,34167765333.821396,1.3791,62254235760.0,,2024-03-22T10:52:00.000Z,,,,,,2024-03-22 12:53:47.508864
6,3408,USDC,USDC,usd-coin,17589,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,31942822615.157993,31942822615.157993,False,,7,,,,2024-03-22T10:51:00.000Z,0.999962581203092,8951400344.99458,-26.0562,-0.0014431,-0.03412169,-0.00473319,0.00469624,0.00079326,-0.0067527,31941627353.16589,1.2886,31941627353.17,,2024-03-22T10:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-22 12:53:47.508864
7,74,Dogecoin,DOGE,dogecoin,933,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143570616383.70517,143570616383.70526,True,,8,,,,2024-03-22T10:52:00.000Z,0.15892263407791585,2828548161.8266287,-8.4125,-0.8007535,4.86369524,-0.91895186,90.55006041,93.70484249,70.91891227,22816620531.888405,0.921,22816620531.89,,2024-03-22T10:52:00.000Z,,,,,,2024-03-22 12:53:47.508864
8,2010,Cardano,ADA,cardano,1119,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35569487731.281,36728716298.964,False,,9,,,,2024-03-22T10:51:00.000Z,0.6250899908714184,604399711.5606328,-27.3059,-1.11463216,-1.54022249,-10.81881205,6.0386784,27.53881293,3.07324043,22234130761.247467,0.8975,28129049589.21,,2024-03-22T10:51:00.000Z,,,,,,2024-03-22 12:53:47.508864
9,5805,Avalanche,AVAX,avalanche,694,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377416536.4228908,436106176.4228908,False,,10,,,,2024-03-22T10:51:00.000Z,54.947879125323425,1098286992.821055,-37.5318,-0.97353153,0.24879207,6.79946082,48.82496974,77.66774355,21.44109144,20738238223.26323,0.8371,39562472970.23,,2024-03-22T10:51:00.000Z,,,,,,2024-03-22 12:53:47.508864
