,name,percent_change,values
0,Bitcoin,1h,-0.97936814
1,Bitcoin,24h,-3.09923127
2,Bitcoin,7d,-3.99778454
3,Bitcoin,30d,26.13662048
4,Bitcoin,60d,59.60177368
5,Bitcoin,90d,48.70071556
6,Ethereum,1h,-0.51335878
7,Ethereum,24h,-2.879085
8,Ethereum,7d,-6.34433626
9,Ethereum,30d,17.8990858
10,Ethereum,60d,44.87287486
11,Ethereum,90d,50.32921027
12,Tether USDt,1h,-3.259e-05
13,Tether USDt,24h,-0.02521758
14,Tether USDt,7d,0.05762002
15,Tether USDt,30d,0.00605694
16,Tether USDt,60d,0.09210201
17,Tether USDt,90d,-0.05272331
18,BNB,1h,-1.82953512
19,BNB,24h,0.53050401
20,BNB,7d,-1.42871228
21,BNB,30d,56.60909158
22,BNB,60d,83.27564681
23,BNB,90d,113.09274174
24,Solana,1h,-0.73266764
25,Solana,24h,-7.21444875
26,Solana,7d,2.32837218
27,Solana,30d,69.01965284
28,Solana,60d,100.46304841
29,Solana,90d,83.47849216
30,XRP,1h,-1.28871854
31,XRP,24h,0.45918361
32,XRP,7d,0.21845474
33,XRP,30d,15.0813426
34,XRP,60d,17.822081
35,XRP,90d,0.99073766
36,USDC,1h,-0.0014431
37,USDC,24h,-0.03412169
38,USDC,7d,-0.00473319
39,USDC,30d,0.00469624
40,USDC,60d,0.00079326
41,USDC,90d,-0.0067527
42,Dogecoin,1h,-0.8007535
43,Dogecoin,24h,4.86369524
44,Dogecoin,7d,-0.91895186
45,Dogecoin,30d,90.55006041
46,Dogecoin,60d,93.70484249
47,Dogecoin,90d,70.91891227
48,Cardano,1h,-1.11463216
49,Cardano,24h,-1.54022249
50,Cardano,7d,-10.81881205
51,Cardano,30d,6.0386784
52,Cardano,60d,27.53881293
53,Cardano,90d,3.07324043
54,Avalanche,1h,-0.97353153
55,Avalanche,24h,0.24879207
56,Avalanche,7d,6.79946082
57,Avalanche,30d,48.82496974
58,Avalanche,60d,77.66774355
59,Avalanche,90d,21.44109144
